site,lat,lon,elev,values,date
NEON.D07.WALK.DP1.20002,35.95947,-84.28041,274,-0.566,2017-01-02
NEON.D08.BLWA.DP1.20002,32.541529,-87.798151,23,-1.342,2017-01-02
NEON.D08.DELA.DP1.00033,32.541727,-87.803877,36,-1.342,2017-01-02
NEON.D08.LENO.DP1.00033,31.85388,-88.16122,10,-1.05,2017-01-02
NEON.D08.MAYF.DP1.20002,32.959657,-87.408128,93,-2.006,2017-01-02
NEON.D08.TALL.DP1.00033,32.95047,-87.393259,167,-2.006,2017-01-02
NEON.D08.TOMB.DP1.20002,31.853431,-88.158872,10,-1.05,2017-01-02
NEON.D09.DCFS.DP1.00033,47.161647,-99.106556,574,0.855,2017-01-02
NEON.D09.NOGP.DP1.00033,46.76972,-100.91535,589,0.563,2017-01-02
NEON.D09.PRLA.DP1.20002,47.15909,-99.11388,563,0.85,2017-01-02
NEON.D09.PRPO.DP1.20002,47.12999,-99.250551,587,0.843,2017-01-02
NEON.D09.WOOD.DP1.00033,47.1282,-99.241334,585,0.843,2017-01-02
NEON.D10.ARIK.DP1.20002,39.758246,-102.447103,1188,-1.405,2017-01-02
NEON.D10.CPER.DP1.00033,40.81553,-104.7456,1600,-1.392,2017-01-02
NEON.D10.HQTW.DP1.00033,40.016704,-105.245612,1601,-1.486,2017-01-02
NEON.D10.RMNP.DP1.00033,40.275903,-105.545955,2751,0.092,2017-01-02
NEON.D10.STER.DP1.00033,40.461894,-103.02929,1366,-1.34,2017-01-02
NEON.D11.BLUE.DP1.20002,34.444218,-96.624201,288,-0.824,2017-01-02
NEON.D11.CLBJ.DP1.00033,33.40123,-97.57,279,0.014,2017-01-02
NEON.D11.OAES.DP1.00033,35.41059,-99.05879,520,-0.899,2017-01-02
NEON.D11.PRIN.DP1.20002,33.37859,-97.78226,255,-0.269,2017-01-02
NEON.D12.BLDE.DP1.20002,44.95011,-110.58715,2035,0.76,2017-01-02
NEON.D12.YELL.DP1.00033,44.95348,-110.53914,2130,0.711,2017-01-02
NEON.D13.COMO.DP1.20002,40.03496,-105.54487,3036,-0.251,2017-01-02
NEON.D13.MOAB.DP1.00033,38.24833,-109.38827,1803,-0.782,2017-01-02
NEON.D13.NIWO.DP1.00033,40.05425,-105.58237,3493,0.594,2017-01-02
NEON.D13.WLOU.DP1.20002,39.891366,-105.915395,2920,-0.622,2017-01-02
NEON.D14.JORN.DP1.00033,32.59068,-106.84254,1321,-0.177,2017-01-02
NEON.D14.SRER.DP1.00033,31.91068,-110.83549,999,-0.8,2017-01-02
NEON.D14.SYCA.DP1.20002,33.749057,-111.506903,644,-0.43,2017-01-02
NEON.D15.ONAQ.DP1.00033,40.177599,-112.452452,1655,-0.765,2017-01-02
NEON.D15.REDB.DP1.20002,40.783934,-111.797887,1696,0.272,2017-01-02
NEON.D16.ABBY.DP1.00033,45.76243,-122.33033,390,0.747,2017-01-02
NEON.D16.MART.DP1.20002,45.791248,-121.931959,354,0.657,2017-01-02
NEON.D16.MCRA.DP1.20002,44.259598,-122.165554,880,0.763,2017-01-02
NEON.D16.WREF.DP1.00033,45.82049,-121.95191,368,0.658,2017-01-02
NEON.D17.BIGC.DP1.20002,37.059719,-119.257549,1133,0.847,2017-01-02
NEON.D17.SJER.DP1.00033,37.10878,-119.73228,398,0.732,2017-01-02
NEON.D17.SOAP.DP1.00033,37.03337,-119.26219,1210,0.789,2017-01-02
NEON.D17.TEAK.DP1.00033,37.00583,-119.00602,2149,0.51,2017-01-02
NEON.D17.TECR.DP1.20002,36.955931,-119.027363,2053,0.548,2017-01-02
NEON.D18.BARR.DP1.00033,71.28241,-156.61936,7,-9999.0,2017-01-02
NEON.D18.OKSR.DP1.20002,68.669753,-149.143018,773,-9999.0,2017-01-02
NEON.D18.TOOK.DP1.20002,68.629562,-149.610509,715,-9999.0,2017-01-02
NEON.D18.TOOL.DP1.00033,68.66109,-149.37047,827,-9999.0,2017-01-02
NEON.D19.BONA.DP1.00033,65.15401,-147.50258,233,-9999.0,2017-01-02
NEON.D19.CARI.DP1.20002,65.15306,-147.50246,229,-9999.0,2017-01-02
NEON.D19.DEJU.DP1.00033,63.88112,-145.75136,504,-9999.0,2017-01-02
NEON.D19.HEAL.DP1.00033,63.87569,-149.21334,409,-9999.0,2017-01-02
NEON.D20.PUUM.DP1.00033,19.55309,-155.31731,1683,-9999.0,2017-01-02
nevcansnk3a,39.0099,-114.3095,3063,-0.042,2017-01-02
nevcanspg1a,38.9253,-114.4082,1792,-1.01,2017-01-02
nevcanspg2a,38.8921,-114.3521,2203,-0.834,2017-01-02
nevcanspg3a,38.8898,-114.3314,2820,-0.683,2017-01-02
nevcanspg4a,38.9061,-114.3089,3360,-0.683,2017-01-02
ninemileprairie,40.86801886,-96.82208066,381,-0.618,2017-01-02
nist,39.139,-77.2125,100,-1.279,2017-01-02
niwot3,40.03286358,-105.5469702,3050,-0.251,2017-01-02
niwot5,40.03286358,-105.5469702,2993,-0.251,2017-01-02
northattleboroma,41.98369,-71.31056,60,-0.806,2017-01-02
northinletsaltmarsh,33.3455,-79.1957,1,0.127,2017-01-02
oakville,47.899334,-97.316139,268,0.316,2017-01-02
oregonMP,44.4523,-121.5574,1253,0.83,2017-01-02
oregonYP,44.32384,-121.605993,977,1.068,2017-01-02
oregonYPbud,44.3238,-121.606,977,1.068,2017-01-02
othshardwood,44.934805,-68.6655,41,0.787,2017-01-02
othssoftwood,44.934527,-68.664888,41,0.787,2017-01-02
pace,37.9229,-78.2739,100,-1.181,2017-01-02
parkschoolbuffalo,42.9637,-78.7834,205,-0.03,2017-01-02
piedmontalpasture2,33.8875,-85.6935,238,-1.856,2017-01-02
portal,31.9385,-109.0823,1330,-0.403,2017-01-02
proctor,44.525,-72.866,403,-0.277,2017-01-02
readingma,42.5304,-71.1272,100,-0.189,2017-01-02
robinson,37.4671,-83.1576,483,-0.697,2017-01-02
robinson2,37.4671,-83.1576,483,-0.697,2017-01-02
rosemountcons,44.6946,-93.0578,283,0.485,2017-01-02
rosemountconv,44.691,-93.0576,283,0.485,2017-01-02
rosemountnprs,44.6781,-93.0723,274,0.514,2017-01-02
russellsage,32.456961,-91.974322,20,-0.923,2017-01-02
sagehen,39.4315,-120.2398,1934,1.635,2017-01-02
sagehen2,39.4307,-120.2407,1937,1.635,2017-01-02
sagehen3,39.4311,-120.2405,1935,1.635,2017-01-02
sanford,42.726777,-84.464482,268,0.091,2017-01-02
santacruz1,36.9741,-122.0308,11,1.202,2017-01-02
santacruz2,36.9741,-122.0308,11,1.202,2017-01-02
santaluciapreserve1,36.5265,-121.8682,500,0.377,2017-01-02
santaluciapreserve2,36.5265,-121.8682,500,0.377,2017-01-02
segaarboretum10,35.16209,-111.73151,2170,0.344,2017-01-02
segaarboretum2,35.16209,-111.73151,2170,0.344,2017-01-02
segaarboretum3,35.16209,-111.73151,2170,0.344,2017-01-02
segaarboretum4,35.16214,-111.73153,2170,0.344,2017-01-02
segaarboretum6,35.16209,-111.73151,2170,0.344,2017-01-02
segaarboretum9,35.16222,-111.73158,2170,0.344,2017-01-02
segaarboretumforest,35.1613,-111.7359,2173,0.344,2017-01-02
segaarboretummeadow,35.1621,-111.7316,2157,0.344,2017-01-02
segablackpoint,35.6814,-111.4754,1566,-0.218,2017-01-02
segabluechute,35.5876,-111.9716,1930,0.205,2017-01-02
segabluechute1,35.58759,-111.97115,1931,0.205,2017-01-02
segabluechute2,35.58759,-111.97115,1931,0.205,2017-01-02
segabluechute4,35.58759,-111.9716,1931,0.205,2017-01-02
segabluechute6,35.58759,-111.97115,1931,0.205,2017-01-02
segabluechute7,35.58759,-111.97115,1931,0.205,2017-01-02
segabluechute8,35.58759,-111.97115,1931,0.205,2017-01-02
segabradshaw,34.9109,-111.9285,1402,0.156,2017-01-02
segahartprairie,35.3536,-111.7324,2585,0.363,2017-01-02
segalcr,35.7231,-111.321,1275,-0.107,2017-01-02
segalcr2,35.7069,-111.36,1495,-0.093,2017-01-02
segalittlemountain,36.5865,-112.3634,2276,-0.166,2017-01-02
segasoapcreek,36.751,-111.716,1233,-0.487,2017-01-02
segawhitepockets,36.6081,-112.4082,2057,-0.168,2017-01-02
sevilletagrass,34.360444,-106.700186,1600,0.307,2017-01-02
sevilletanewgrass,34.358,-106.6799,1603,0.323,2017-01-02
sevilletashrub,34.334956,-106.744469,1603,0.291,2017-01-02
sevMRME10L,34.3438,-106.7269,1604,0.277,2017-01-02
sevMRME11C,34.3438,-106.7268,1604,0.277,2017-01-02
sevMRME1S,34.3442,-106.7272,1604,0.277,2017-01-02
sevpjrm12,34.38615,-106.52621,1905,0.531,2017-01-02
sevpjrm13,34.38631,-106.52791,1914,0.531,2017-01-02
shalehillsczo,40.6658,-77.9041,310,-1.17,2017-01-02
shenandoah,38.6167,-78.35,1037,-1.395,2017-01-02
silverton,44.9986,-122.6948,347,0.643,2017-01-02
siwetland,38.0369,-121.7546,-5,0.877,2017-01-02
slatefloodplain,38.9094,-107.0282,2725,-0.323,2017-01-02
snodgrass1,38.92619636,-106.9714376,3023,-0.635,2017-01-02
snodgrass2,38.92619636,-106.9714376,3023,-0.635,2017-01-02
snodgrass3,38.92839978,-106.9781196,3141,-0.635,2017-01-02
snodgrass4,38.92839978,-106.9781196,3141,-0.635,2017-01-02
snodgrass5,38.92744789,-106.9785209,3152,-0.635,2017-01-02
snodgrass6,38.92744789,-106.9785209,3152,-0.635,2017-01-02
snodgrass7,38.93142134,-106.9852388,3363,-0.598,2017-01-02
snodgrass8,38.93142134,-106.9852388,3363,-0.598,2017-01-02
southerngreatplains,36.6058,-97.4888,314,-1.032,2017-01-02
springfieldma,42.135162,-72.585972,56,-0.995,2017-01-02
spruceA0EMI,47.5049,-93.4541,413,0.443,2017-01-02
spruceA0EMT,47.5049,-93.4541,418,0.443,2017-01-02
spruceA0P07,47.50493,-93.45314,413,0.443,2017-01-02
spruceA0P07SH,47.50493,-93.45314,413,0.443,2017-01-02
spruceA0P21,47.50625,-93.45275,413,0.443,2017-01-02
spruceA0P21SH,47.50625,-93.45275,413,0.443,2017-01-02
srg,31.7894,-110.8276,1281,-0.748,2017-01-02
srm,31.8214,-110.8661,1116,-0.743,2017-01-02
statenrice1,38.1235,-121.549,-5,1.361,2017-01-02
stjones,39.088222,-75.43725,2,-1.021,2017-01-02
sweetbriar,37.57341,-79.08482,242,-1.101,2017-01-02
sweetbriarclearcut,37.5753,-79.0872,242,-1.101,2017-01-02
sweetbriargrass,37.5605,-79.0884,240,-1.101,2017-01-02
sylvania,46.242,-89.348,540,-0.111,2017-01-02
templefieldstation1,40.1667,-75.1894,105,-0.774,2017-01-02
tfforest,43.1086,-70.9505,23,0.807,2017-01-02
tidmarshplymouth,41.9157,-70.5754,9,-0.773,2017-01-02
tonzi,38.43091667,-120.9658861,177,1.658,2017-01-02
townsenddemeadow,39.3917,-75.6281,11,-0.845,2017-01-02
tsubiology,36.1671,-86.8295,164,-1.14,2017-01-02
tsubiology2,36.1171,-86.8295,100,-1.281,2017-01-02
tuckerprairie,38.9491,-91.9952,274,-1.172,2017-01-02
twodafo,29.1658,-95.829,16,-0.958,2017-01-02
tworfaa,31.4777,-96.8882,167,-0.247,2017-01-02
tworfpr,31.4802,-96.8826,162,-0.404,2017-01-02
tworfta,31.4693,-96.8864,173,-0.247,2017-01-02
twosfpr,30.6176,-97.2938,157,-0.069,2017-01-02
ucnrsanzaborrego,33.2401,-116.3886,214,0.299,2017-01-02
ufona,27.3836,-81.950856,25,-1.661,2017-01-02
uiefmaize2,40.0628,-88.1961,224,-0.736,2017-01-02
uiefmiscanthus2,40.0628,-88.1984,221,-0.736,2017-01-02
uiefprairie2,40.0637,-88.1973,224,-0.736,2017-01-02
uiefsorghum,40.0065,-88.2032,224,-0.65,2017-01-02
uiefswitchgrass2,40.0637,-88.1973,224,-0.736,2017-01-02
umichbiological,45.55984,-84.71382,230,-0.553,2017-01-02
umichbiological2,45.5625,-84.6976,240,-0.611,2017-01-02
unca,35.5951,-82.5515,650,-1.431,2017-01-02
usgseros,43.7343,-96.6234,448,0.262,2017-01-02
usmpj,34.43845,-106.2543606,2126,0.099,2017-01-02
usof5,35.7297,-90.0406,70,-1.056,2017-01-02
usof6,35.7333,-90.0403,70,-1.056,2017-01-02
uwmfieldsta,43.38709,-88.0229,265,0.901,2017-01-02
vaira,38.41328056,-120.9506361,129,1.658,2017-01-02
vallesburnedconifer,35.8884,-106.5321,3043,-0.451,2017-01-02
vallesmixedconifer,35.9192,-106.6142,2752,-0.409,2017-01-02
vallesponderosapine,35.864,-106.5964,2501,-0.472,2017-01-02
waahila,21.3017,-157.8152,55,-9999.0,2017-01-02
warrenwilson,35.6069,-82.4421,2198,-1.487,2017-01-02
willamettepoplar,44.1368,-123.1823,112,0.789,2017-01-02
willowcreek,45.805986,-90.07912,521,0.367,2017-01-02
windriver,45.8212833,-121.9520833,371,0.658,2017-01-02
windriverunderstory,45.8212833,-121.9520833,371,0.658,2017-01-02
wolfesneckfarm,43.8305,-70.0715,16,1.136,2017-01-02
worcester,42.2697,-71.8428,185,0.439,2017-01-02
alligatorriver,35.7879,-75.9038,1,-0.485,2017-01-09
arbutuslake,43.98207,-74.23322,535,1.466,2017-01-09
arbutuslakeinlet,43.99336,-74.24527,527,1.466,2017-01-09
archboldavir,27.176064,-81.21958,8,-1.424,2017-01-09
archboldavirx,27.166627,-81.219828,8,-1.424,2017-01-09
archboldbahia,27.1656,-81.216112,8,-1.424,2017-01-09
archboldpnot,27.187948,-81.200345,9,-1.424,2017-01-09
archboldpnotx,27.180677,-81.20068,9,-1.424,2017-01-09
arkansascornsoy,34.416,-91.6723,61,-0.011,2017-01-09
arsbrooks10,41.9749,-93.6905,312,-0.876,2017-01-09
arsbrooks11,41.9744,-93.6937,313,-0.876,2017-01-09
arscolesnorth,42.4884,-93.5225,356,-0.394,2017-01-09
arscolessouth,42.4816,-93.5235,352,-0.394,2017-01-09
arsgacp1,31.5109,-83.6179,96,0.299,2017-01-09
arsgacp3,31.7563,-83.7516,139,0.434,2017-01-09
arsgacp4,31.7093,-83.7287,127,0.563,2017-01-09
arsgreatbasinltar098,43.1675,-116.7132,1426,-0.171,2017-01-09
arsgreatbasinltar117,43.1432,-116.7357,1625,-0.39,2017-01-09
arsgreatbasinltar177,43.0645,-116.7484,2114,-0.59,2017-01-09
arsltarmdcr,39.0587,-75.8513,17,-1.389,2017-01-09
arsltarmdcrnatw,39.0575,-75.7531,16,-1.396,2017-01-09
arsltarmdcrprcw,39.0667,-75.7609,17,-1.396,2017-01-09
arsltarmdcrresw,39.0549,-75.7532,16,-1.396,2017-01-09
arsltarucbec1,40.7537,-78.0057,400,0.078,2017-01-09
arsltarucbec2,40.7558,-77.9999,396,0.078,2017-01-09
arsmnswanlake1,45.684508,-95.799703,370,0.688,2017-01-09
arsmorris1,45.6167,-96.1269,341,0.698,2017-01-09
arsmorris2,45.627,-96.127,338,0.698,2017-01-09
arsmorris3,45.6091,-96.1265,342,0.698,2017-01-09
arsope3ltar,39.0309,-76.8442,41,-1.139,2017-01-09
ashburnham,42.6029,-71.926,292,-0.461,2017-01-09
asuhighlands,36.2076,-81.7032,1016,-1.051,2017-01-09
