site,lat,lon,elev,values,date
laupahoehoe,19.9322,-155.2912,1145,-9999.0,2022-01-03
ldeocam,41.0039,-73.9053,121,0.905,2022-01-03
lostcreek,46.0827,-89.9792,480,-0.607,2022-01-03
luckyhills,31.743896,-110.052023,1366,0.448,2022-01-03
macleish,42.4484,-72.6804,251,0.958,2022-01-03
macordway,44.8106,-93.0272,264,-0.103,2022-01-03
mandanh5,46.775423,-100.95109,593,0.236,2022-01-03
mandani2,46.7614,-100.9257,590,0.169,2022-01-03
manilacotton,35.8872,-90.1371,73,-1.313,2022-01-03
marena,36.06434,-97.21271,327,-1.517,2022-01-03
mead1,41.1651,-96.4766,361,0.685,2022-01-03
mead2,41.1649,-96.4701,362,0.685,2022-01-03
mead3,41.1797,-96.4397,363,0.681,2022-01-03
meadpasture,41.1447,-96.4616,356,0.734,2022-01-03
meadpasturese,41.1447,-96.4616,356,0.734,2022-01-03
meadpasturesw,41.1447,-96.4616,356,0.734,2022-01-03
missouriozarks,38.7441,-92.2,219,-0.91,2022-01-03
morganmonroe,39.3231,-86.4131,275,0.394,2022-01-03
morganmonroe2,39.3231,-86.4131,275,0.394,2022-01-03
nahuku,19.415187,-155.238383,1202,-9999.0,2022-01-03
nationalelkrefuge,43.488931,-110.737824,1899,0.69,2022-01-03
ncssm,36.018446,-78.92075,175,-1.489,2022-01-03
NEON.D01.BART.DP1.00033,44.063869,-71.287375,285,-0.23,2022-01-03
NEON.D01.HARV.DP1.00033,42.536911,-72.17265,359,0.717,2022-01-03
NEON.D01.HOPB.DP1.20002,42.471786,-72.329627,203,0.146,2022-01-03
NEON.D02.BLAN.DP1.00033,39.033698,-78.041788,162,0.025,2022-01-03
NEON.D02.LEWI.DP1.20002,39.09564,-77.98322,152,-0.335,2022-01-03
NEON.D02.POSE.DP1.20002,38.89332,-78.14678,293,0.448,2022-01-03
NEON.D02.SCBI.DP1.00033,38.892925,-78.139494,364,0.31,2022-01-03
NEON.D02.SERC.DP1.00033,38.89008,-76.56001,30,-0.548,2022-01-03
NEON.D03.BARC.DP1.20002,29.676473,-82.009089,35,0.279,2022-01-03
NEON.D03.DSNY.DP1.00033,28.12505,-81.43619,22,-1.201,2022-01-03
NEON.D03.FLNT.DP1.20002,31.185424,-84.437403,27,0.076,2022-01-03
NEON.D03.JERC.DP1.00033,31.194839,-84.468623,58,0.161,2022-01-03
NEON.D03.OSBS.DP1.00033,29.689282,-81.993431,56,0.197,2022-01-03
NEON.D03.SUGG.DP1.20002,29.687054,-82.016171,28,0.197,2022-01-03
NEON.D04.CUPE.DP1.20002,18.11352,-66.98676,164,-9999.0,2022-01-03
NEON.D04.GUAN.DP1.00033,17.96955,-66.8687,136,-9999.0,2022-01-03
NEON.D04.GUIL.DP1.20002,18.1741,-66.79851,564,-9999.0,2022-01-03
NEON.D04.LAJA.DP1.00033,18.021261,-67.076889,22,-9999.0,2022-01-03
NEON.D05.CRAM.DP1.20002,46.21111,-89.47825,518,-0.514,2022-01-03
NEON.D05.LIRO.DP1.20002,45.998269,-89.704767,495,-0.325,2022-01-03
NEON.D05.STEI.DP1.00033,45.50894,-89.58637,476,-0.241,2022-01-03
NEON.D05.TREE.DP1.00033,45.49373,-89.58572,474,-0.241,2022-01-03
NEON.D05.UNDE.DP1.00033,46.23391,-89.537254,529,-0.561,2022-01-03
NEON.D06.KING.DP1.20002,39.10506,-96.60336,339,-0.857,2022-01-03
