"Veg_Type","Phen_Metric","Drought_Index","Drought_Metric","Slope","Error","Adjusted_R2","F_Statistic","P_Value","significant"
"DB","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_3month",0.474820908195516,0.362705018438577,0.00179920655025412,1.71377001358445,0.191257994439737,NA
"EN","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_3month",-0.149995476008519,0.330227777304725,-0.00347793094018733,0.206314199100781,0.650103865381065,NA
"GR","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_3month",0.340995731620049,0.459169455426614,-0.00153829383739712,0.551508111787816,0.458301183139036,NA
"SH","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_3month",-0.523483907103225,0.529790874526604,-0.000215205860789824,0.976332448708855,0.325294280756692,NA
"AG","Cumulative_GCC_yearly","SPEI","Mean_SPEI_6month",0.445373716153108,0.425058170581367,0.000446712784230696,1.09787382123374,0.295893473042748,NA
"DB","Cumulative_GCC_yearly","SPEI","Mean_SPEI_6month",0.387512074542425,0.293474950984766,0.00187407189532562,1.74352589152568,0.187457264933624,NA
"EN","Cumulative_GCC_yearly","SPEI","Mean_SPEI_6month",-0.027870571096426,0.272370714046095,-0.00433984199575366,0.0104705842867344,0.918587956637316,NA
"GR","Cumulative_GCC_yearly","SPEI","Mean_SPEI_6month",0.868550820669323,0.359561971565602,0.0162886041055965,5.83502826000071,0.0163262080166749,"yes"
"SH","Cumulative_GCC_yearly","SPEI","Mean_SPEI_6month",0.187589335951216,0.430730084140229,-0.00742127727202613,0.189673160235966,0.664049991842021,NA
"AG","Cumulative_GCC_yearly","SPEI","Mean_May_Sept_SPEI_6month",0.398583064718507,0.343531616659712,0.00157825168532666,1.34618348375321,0.247215497348648,NA
"DB","Cumulative_GCC_yearly","SPEI","Mean_May_Sept_SPEI_6month",0.38661859909961,0.25258533460477,0.00337963921917028,2.34287556571979,0.126657476410223,NA
"EN","Cumulative_GCC_yearly","SPEI","Mean_May_Sept_SPEI_6month",-0.00981889510254145,0.227511129059677,-0.00437775984418254,0.0018626015043114,0.96561346277569,NA
"GR","Cumulative_GCC_yearly","SPEI","Mean_May_Sept_SPEI_6month",0.429727376187843,0.298825378776817,0.00364421437092133,2.06800262682989,0.151492932120061,NA
"SH","Cumulative_GCC_yearly","SPEI","Mean_May_Sept_SPEI_6month",0.0285331422309961,0.341287649627307,-0.00910960215033496,0.00698969229749359,0.933524334559169,NA
"AG","Cumulative_GCC_yearly","SPEI","Mean_Oct_Feb_SPEI_6month",0.0623555382080862,0.347849225982548,-0.00443909686613497,0.0321342361954146,0.85789985765236,NA
"DB","Cumulative_GCC_yearly","SPEI","Mean_Oct_Feb_SPEI_6month",0.0353780898588367,0.214291699060242,-0.00246247376702136,0.027255745468349,0.868955127194838,NA
"EN","Cumulative_GCC_yearly","SPEI","Mean_Oct_Feb_SPEI_6month",-0.069422027380957,0.21367722358132,-0.0039211897673439,0.105554832516399,0.745560696611885,NA
"GR","Cumulative_GCC_yearly","SPEI","Mean_Oct_Feb_SPEI_6month",0.489430244287151,0.266288515791883,0.00807849714185338,3.3781329052996,0.0670861133037428,NA
"SH","Cumulative_GCC_yearly","SPEI","Mean_Oct_Feb_SPEI_6month",0.0146840385930655,0.244307179919232,-0.00914086595097352,0.00361258915071347,0.952182215141082,NA
"AG","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_May_Sept_SPEI_6month",0.437333882379094,0.359967409041975,0.00216901110890799,1.47604598187391,0.225708436799094,NA
"DB","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_May_Sept_SPEI_6month",0.358305365964218,0.251485870448396,0.00259406756294833,2.02992244333015,0.155018075887455,NA
"EN","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_May_Sept_SPEI_6month",-0.133864392861418,0.225249075806109,-0.00283251351959612,0.353186511961984,0.552904075433828,NA
"GR","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_May_Sept_SPEI_6month",-0.0242380106565769,0.313070712327493,-0.00341575818647888,0.00599389404200539,0.93834244180955,NA
"SH","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_May_Sept_SPEI_6month",-0.239190545744579,0.355794860986601,-0.00500723643364398,0.45194821715374,0.502833791325567,NA
"AG","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_6month",0.462145834376945,0.433772474103905,0.000616514448332217,1.13509995525917,0.287868692332865,NA
"DB","Cumulative_GCC_yearly","SPEI","Prev_Year_Mean_SPEI_6month",0.419221264576378,0.289114507435001,0.00277649297802685,2.10255244842957,0.147847012440579,NA
