"site","lat","lon","elev"
"NEON.D13.NIWO.DP1.00042",40.05425,-105.58237,3493
"NEON.D13.WLOU.DP1.20002",39.891366,-105.915395,2920
"NEON.D14.JORN.DP1.00033",32.59068,-106.84254,1321
"NEON.D14.JORN.DP1.00042",32.59068,-106.84254,1321
"NEON.D14.SRER.DP1.00033",31.91068,-110.83549,999
"NEON.D14.SRER.DP1.00042",31.91068,-110.83549,999
"NEON.D14.SYCA.DP1.20002",33.749057,-111.506903,644
"NEON.D15.ONAQ.DP1.00033",40.177599,-112.452452,1655
"NEON.D15.ONAQ.DP1.00042",40.177599,-112.452452,1655
"NEON.D15.REDB.DP1.20002",40.783934,-111.797887,1696
"NEON.D16.ABBY.DP1.00033",45.76243,-122.33033,390
"NEON.D16.ABBY.DP1.00042",45.76243,-122.33033,390
"NEON.D16.MART.DP1.20002",45.791248,-121.931959,354
"NEON.D16.MCRA.DP1.20002",44.259598,-122.165554,880
"NEON.D16.WREF.DP1.00033",45.82049,-121.95191,368
"NEON.D16.WREF.DP1.00042",45.82049,-121.95191,368
"NEON.D17.BIGC.DP1.20002",37.059719,-119.257549,1133
"NEON.D17.SJER.DP1.00033",37.10878,-119.73228,398
"NEON.D17.SJER.DP1.00042",37.10878,-119.73228,398
"NEON.D17.SOAP.DP1.00033",37.03337,-119.26219,1210
"NEON.D17.SOAP.DP1.00042",37.03337,-119.26219,1210
"NEON.D17.TEAK.DP1.00033",37.00583,-119.00602,2149
"NEON.D17.TEAK.DP1.00042",37.00583,-119.00602,2149
"NEON.D17.TECR.DP1.20002",36.955931,-119.027363,2053
"NEON.D18.BARR.DP1.00033",71.28241,-156.61936,7
"NEON.D18.BARR.DP1.00042",71.28241,-156.61936,7
"NEON.D18.OKSR.DP1.20002",68.669753,-149.143018,773
"NEON.D18.TOOK.DP1.20002",68.629562,-149.610509,715
"NEON.D18.TOOL.DP1.00033",68.66109,-149.37047,827
"NEON.D18.TOOL.DP1.00042",68.66109,-149.37047,827
"NEON.D19.BONA.DP1.00033",65.15401,-147.50258,233
"NEON.D19.BONA.DP1.00042",65.15401,-147.50258,233
"NEON.D19.CARI.DP1.20002",65.15306,-147.50246,229
"NEON.D19.DEJU.DP1.00033",63.88112,-145.75136,504
"NEON.D19.DEJU.DP1.00042",63.88112,-145.75136,504
"NEON.D19.HEAL.DP1.00033",63.87569,-149.21334,409
"NEON.D19.HEAL.DP1.00042",63.87569,-149.21334,409
"NEON.D20.PUUM.DP1.00033",19.55309,-155.31731,1683
"NEON.D20.PUUM.DP1.00042",19.55309,-155.31731,1683
